Data/Hora;Par;Valor Operacao (USD);Spot Entrada;Spot Saida;PnL Spot (USD);Perp Entrada;Perp Saida;PnL Futuros (USD);Spread Mercado (USD);Funding Coletado (USD);PnL Total Realizado (USD)
05/08/2026, 00:19;AGI;60,1400;0,0030;0,0030;0,7395;0,0030;0,0030;-0,2187;0,5208;0,0639;0,5847
05/08/2026, 22:27;BTW;151,3300;0,1515;0,1626;11,0764;0,1525;0,1634;-10,7731;0,3032;0,6225;0,9257
05/08/2026, 23:40;BLUAI;53,1300;0,0117;0,0123;2,8918;0,0118;0,0124;-2,9075;-0,0157;0,8305;0,8148
06/08/2026, 04:03;LYN;93,8300;0,0337;0,0350;3,8190;0,0338;0,0352;-3,7765;0,0425;0,2545;0,2970
07/08/2026, 11:09;LYN;16,0600;0,0337;0,0356;0,9304;0,0338;0,0357;-0,9078;0,0226;0,2545;0,2771
08/08/2026, 07:49;BLUAI;424,4700;0,0124;0,0192;231,7812;0,0125;0,0191;-225,0709;6,7103;2,7531;9,4634
08/08/2026, 09:15;BLUAI;403,2500;0,0124;0,0194;227,2184;0,0125;0,0195;-227,4528;-0,2344;2,7531;2,5187
08/08/2026, 09:49;BTW;94,6800;0,1566;0,1643;4,6679;0,1573;0,1639;-3,9914;0,6765;0,5465;1,2230
08/08/2026, 17:37;APR;14,7700;0,2095;0,2065;-0,2167;0,2102;0,2076;0,1862;-0,0305;0,0000;-0,0305
08/08/2026, 17:37;TAC;32,0600;0,0032;0,0031;-0,0965;0,0032;0,0032;0,0809;-0,0156;0,0198;0,0042
08/08/2026, 17:37;BTW;93,2800;0,1648;0,1936;16,3113;0,1646;0,1937;-16,4447;-0,1334;0,1190;-0,0144
08/08/2026, 17:37;LYN;12,1600;0,0360;0,0363;0,0929;0,0361;0,0364;-0,1078;-0,0149;0,0352;0,0202
08/08/2026, 17:37;TRUTH;43,1100;0,0127;0,0136;3,0465;0,0128;0,0136;-2,8748;0,1717;0,2184;0,3901
08/08/2026, 17:37;APR;14,7700;0,2095;0,2066;-0,2115;0,2102;0,2077;0,1757;-0,0358;0,0000;-0,0358
08/08/2026, 17:38;BTW;93,2800;0,1648;0,1936;16,3008;0,1646;0,1945;-16,9234;-0,6226;0,1190;-0,5037
08/08/2026, 17:38;TRUTH;43,1100;0,0127;0,0136;3,0465;0,0128;0,0136;-2,8596;0,1869;0,2184;0,4053
08/08/2026, 18:01;LYN;12,1600;0,0360;0,0362;0,0642;0,0361;0,0363;-0,0707;-0,0066;0,0352;0,0286
09/08/2026, 02:20;BTW;161,7200;0,1953;0,2085;10,9160;0,1957;0,2078;-9,9748;0,9412;0,2261;1,1673
09/08/2026, 08:11;ARCSOL;16,0500;0,0726;0,0699;-0,5915;0,0727;0,0703;0,5374;-0,0541;1,0107;0,9566
09/08/2026, 18:12;FOLKS;46,3900;1,8523;1,7926;-1,4952;1,8600;1,8020;1,4466;-0,0486;0,0140;-0,0346
09/08/2026, 18:13;ARCSOL;12,8400;0,0697;0,0624;-1,3358;0,0698;0,0628;1,2910;-0,0448;0,3782;0,3334
09/08/2026, 18:13;ACU;12,8400;0,0888;0,0998;1,5866;0,0890;0,1000;-1,5825;0,0041;0,0184;0,0225
09/08/2026, 18:14;MYX;23,7600;0,0727;0,0770;1,4025;0,0732;0,0774;-1,3528;0,0497;0,0133;0,0629
09/08/2026, 18:14;AIO;91,9200;0,0396;0,0447;11,7977;0,0400;0,0450;-11,5159;0,2819;0,1504;0,4322
09/08/2026, 18:15;PLAY;30,8000;0,0370;0,0374;0,3330;0,0372;0,0376;-0,3730;-0,0400;0,0734;0,0334
09/08/2026, 23:36;TRADOOR;40,0400;0,6489;0,6202;-1,7709;0,6517;0,6221;1,8186;0,0477;0,0000;0,0477
10/08/2026, 07:32;BTW;161,3100;0,2186;0,1743;-32,6916;0,2190;0,1756;31,9998;-0,6917;1,8000;1,1083
13/08/2026, 11:33;BTW;240,0000;0,2004;0,2648;77,1779;0,2006;0,2659;-78,1217;-0,9438;2,7641;1,8203
13/08/2026, 12:35;BLUAI;24,0398;0,0124;0,0123;-0,1212;0,0125;0,0124;0,2198;0,0987;2,7838;2,8824
14/08/2026, 05:01;VELVET;14,8000;0,9935;0,9381;-0,8259;0,9990;0,9360;0,9333;0,1075;0,0000;0,1075
14/08/2026, 06:42;CYS;26,3000;1,1746;0,8904;-6,3634;1,1756;0,8856;6,4878;0,1243;0,0161;0,1405
